#1,"Echo Show 5 (エコーショー5) スクリーン付きスマートスピーカー with Alexa、サンドストーン + Nature スマートリモコン Remo 3
        ",https://www.amazon.co.jp/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E4%BB%98%E3%81%8D%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%82%B9%E3%83%94%E3%83%BC%E3%82%AB%E3%83%BC-Alexa%E3%80%81%E3%82%B5%E3%83%B3%E3%83%89%E3%82%B9%E3%83%88%E3%83%BC%E3%83%B3-Nature-%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%83%AA%E3%83%A2%E3%82%B3%E3%83%B3-Remo/dp/B08F2XP41Q?_encoding=UTF8&psc=1
#2,"マキタ コードレス掃除機CL108 カプセル式 標準25分稼働/充電22分 軽量定番モデル 10.8Vバッテリ充電器付 CL108FDSHW
        ",https://www.amazon.co.jp/%E3%83%9E%E3%82%AD%E3%82%BF-Makita-%E5%85%85%E9%9B%BB%E5%BC%8F%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%8A%E3%83%BC-%E3%83%90%E3%83%83%E3%83%86%E3%83%AA%E3%83%BC%E3%83%BB%E5%85%85%E9%9B%BB%E5%99%A8%E4%BB%98-CL108FDSHW/dp/B07GWY3HYD?_encoding=UTF8&psc=1
#3,"LBELL スタープロジェクターライト ベッドサイドランプ 投影ランプ プラネタリウム Bluetooth/USBメモリに対応 10種点灯モード タイマー機能付き 音声制御 輝度/音量調整可 ロマンチック雰囲気作り クリスマス/ハロウィン/パーテイー飾り/お子さん･彼女にプレゼント/誕生日ギフト
        ",https://www.amazon.co.jp/%E3%80%8C%E4%BB%A4%E5%92%8C%E6%9C%80%E6%96%B0%E7%89%88%EF%BC%86%E3%83%AA%E3%83%A2%E3%82%B3%E3%83%B3%E5%BC%8F%E3%80%8D%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%88-Bluetooth5-0-%E3%83%AD%E3%83%9E%E3%83%B3%E3%83%81%E3%83%83%E3%82%AF%E9%9B%B0%E5%9B%B2%E6%B0%97%E4%BD%9C%E3%82%8A-%E3%81%8A%E5%AD%90%E3%81%95%E3%82%93%EF%BD%A5%E5%BD%BC%E5%A5%B3%E3%81%AB%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88-%E6%97%A5%E6%9C%AC%E8%AA%9E%E8%AA%AC%E6%98%8E%E6%9B%B8%EF%BC%8618%E3%83%B6%E6%9C%88%E5%93%81%E8%B3%AA%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/dp/B07XQ93X57?_encoding=UTF8&psc=1
#4,"平安伸銅工業 LABRICO DIY収納パーツ 2×4アジャスター強力タイプ オフホワイト EXO-1 最大使用荷重40kg
        ",https://www.amazon.co.jp/%E5%B9%B3%E5%AE%89%E4%BC%B8%E9%8A%85%E5%B7%A5%E6%A5%AD-DIY%E5%8F%8E%E7%B4%8D%E3%83%91%E3%83%BC%E3%83%84-2%C3%974%E3%82%A2%E3%82%B8%E3%83%A3%E3%82%B9%E3%82%BF%E3%83%BC%E5%BC%B7%E5%8A%9B%E3%82%BF%E3%82%A4%E3%83%97-EXO-1-%E6%9C%80%E5%A4%A7%E4%BD%BF%E7%94%A8%E8%8D%B7%E9%87%8D40kg/dp/B083WKG6JH?_encoding=UTF8&psc=1
#5,"トーチバーナー アウトドア ガスバーナー 料理用 トーチ 900℃1300℃ 調整可能 BBQ/料理/お菓子作り/キャンプ/炭火起こし/溶接対応
        ",https://www.amazon.co.jp/2020%E6%9C%80%E6%96%B0%E6%94%B9%E8%89%AF%E7%89%88-%E3%83%88%E3%83%BC%E3%83%81%E3%83%90%E3%83%BC%E3%83%8A%E3%83%BC-%E3%82%A2%E3%82%A6%E3%83%88%E3%83%89%E3%82%A2-%E3%82%AC%E3%82%B9%E3%83%90%E3%83%BC%E3%83%8A%E3%83%BC-900%E2%84%83%EF%BD%9E1300%E2%84%83/dp/B085QL94BP?_encoding=UTF8&psc=1
#6,"Tohoer【8個セット】マグネット フック 超強力 磁石付き 垂直耐荷重15kg 直径20ｍｍ 金属製 シルバー キッチン用 オフィス用 浴室 お風呂 壁掛け用
        ",https://www.amazon.co.jp/Tohoer%E3%80%908%E5%80%8B%E3%82%BB%E3%83%83%E3%83%88%E3%80%91%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88-%E7%A3%81%E7%9F%B3%E4%BB%98%E3%81%8D-%E5%9E%82%E7%9B%B4%E8%80%90%E8%8D%B7%E9%87%8D%E7%B7%8F%E8%A8%8813-6kg-%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E7%94%A8-%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E7%94%A8/dp/B07KDVGK73?_encoding=UTF8&psc=1
