#1,"Fire HD 8 タブレット ブラック (8インチHDディスプレイ) 32GB + Kindle Unlimited（3か月分。以降自動更新）
        ",https://www.amazon.co.jp/Fire-%E3%82%BF%E3%83%96%E3%83%AC%E3%83%83%E3%83%88-8%E3%82%A4%E3%83%B3%E3%83%81HD%E3%83%87%E3%82%A3%E3%82%B9%E3%83%97%E3%83%AC%E3%82%A4-Kindle-Unlimited%EF%BC%883%E3%81%8B%E6%9C%88%E5%88%86%E3%80%82%E4%BB%A5%E9%99%8D%E8%87%AA%E5%8B%95%E6%9B%B4%E6%96%B0%EF%BC%89/dp/B08C2LRRY9?_encoding=UTF8&psc=1
#2,"Fire HD 10 タブレット ブラック (10インチHDディスプレイ) 32GB + Kindle Unlimited（3か月分。以降自動更新）
        ",https://www.amazon.co.jp/Fire-%E3%82%BF%E3%83%96%E3%83%AC%E3%83%83%E3%83%88-10%E3%82%A4%E3%83%B3%E3%83%81HD%E3%83%87%E3%82%A3%E3%82%B9%E3%83%97%E3%83%AC%E3%82%A4-Kindle-Unlimited%EF%BC%883%E3%81%8B%E6%9C%88%E5%88%86%E3%80%82%E4%BB%A5%E9%99%8D%E8%87%AA%E5%8B%95%E6%9B%B4%E6%96%B0%EF%BC%89/dp/B08C2T3YC8?_encoding=UTF8&psc=1
#3,"【Amazon.co.jp限定】BUFFALO 外付けハードディスク 4TB テレビ録画/PC/PS4/4K対応 静音&コンパクト 日本製 故障予測 みまもり合図 HD-AD4U3
        ",https://www.amazon.co.jp/%E3%80%90Amazon-co-jp%E9%99%90%E5%AE%9A%E3%80%91BUFFALO-%E5%A4%96%E4%BB%98%E3%81%91%E3%83%8F%E3%83%BC%E3%83%89%E3%83%87%E3%82%A3%E3%82%B9%E3%82%AF-%E3%83%86%E3%83%AC%E3%83%93%E9%8C%B2%E7%94%BB-%E3%81%BF%E3%81%BE%E3%82%82%E3%82%8A%E5%90%88%E5%9B%B3-HD-AD4U3/dp/B07BK6696F?_encoding=UTF8&psc=1
#4,"サンディスク microSD 128GB UHS-I Class10 読取り最大100MB/s 【Nintendo Switch メーカー動作確認済】 SanDisk Ultra SDSQUAR-128G-EPK エコパッケージ
        ",https://www.amazon.co.jp/%E8%AA%AD%E5%8F%96%E3%82%8A%E6%9C%80%E5%A4%A7100MB-%E3%80%90Nintendo-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E5%8B%95%E4%BD%9C%E7%A2%BA%E8%AA%8D%E6%B8%88%E3%80%91-SanDisk-SDSQUAR-128G-EPK/dp/B07YLTZ5PT?_encoding=UTF8&psc=1
#5,"Fire 7 タブレット (7インチディスプレイ) 16GB + Kindle Unlimited（3か月分。以降自動更新）
        ",https://www.amazon.co.jp/Fire-%E3%82%BF%E3%83%96%E3%83%AC%E3%83%83%E3%83%88-7%E3%82%A4%E3%83%B3%E3%83%81%E3%83%87%E3%82%A3%E3%82%B9%E3%83%97%E3%83%AC%E3%82%A4-Kindle-Unlimited%EF%BC%883%E3%81%8B%E6%9C%88%E5%88%86%E3%80%82%E4%BB%A5%E9%99%8D%E8%87%AA%E5%8B%95%E6%9B%B4%E6%96%B0%EF%BC%89/dp/B08BWHGSL8?_encoding=UTF8&psc=1
#6,"BUFFALO WiFi 無線LAN ルーター WSR-1166DHPL2/N 11ac ac1200 866+300Mbps IPv6対応 デュアルバンド 3LDK 2階建向け 簡易パッケージ テレワーク 日本メーカー 【iPhone12/11/iPhone SE(第二世代) メーカー動作確認済み】
        ",https://www.amazon.co.jp/BUFFALO-WSR-1166DHPL2-%E3%80%90iPhone11-iPhone11-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E5%8B%95%E4%BD%9C%E7%A2%BA%E8%AA%8D%E6%B8%88%E3%81%BF%E3%80%91/dp/B086WDY9XS?_encoding=UTF8&psc=1
